id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,0,0,,,,lbw_substation_500MW.yaml,export_220kv_1000mm.yaml
S00T1,OSS1,S00T1,turbine,0,0,0,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S00T2,OSS1,S00T2,turbine,0,0,0,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S00T3,OSS1,S00T3,turbine,0,0,0,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S00T4,OSS1,S00T4,turbine,0,0,0,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S00T5,OSS1,S00T5,turbine,0,0,0,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T1,OSS1,S01T1,turbine,0,0,1,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S01T2,OSS1,S01T2,turbine,0,0,1,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S01T3,OSS1,S01T3,turbine,0,0,1,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T4,OSS1,S01T4,turbine,0,0,1,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T5,OSS1,S01T5,turbine,0,0,1,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T1,OSS1,S02T1,turbine,0,0,2,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S02T2,OSS1,S02T2,turbine,0,0,2,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S02T3,OSS1,S02T3,turbine,0,0,2,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T4,OSS1,S02T4,turbine,0,0,2,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T5,OSS1,S02T5,turbine,0,0,2,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T1,OSS1,S03T1,turbine,0,0,3,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S03T2,OSS1,S03T2,turbine,0,0,3,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S03T3,OSS1,S03T3,turbine,0,0,3,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T4,OSS1,S03T4,turbine,0,0,3,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T5,OSS1,S03T5,turbine,0,0,3,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S04T1,OSS1,S04T1,turbine,0,0,4,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S04T2,OSS1,S04T2,turbine,0,0,4,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S04T3,OSS1,S04T3,turbine,0,0,4,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
