run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,522559.4875,248766.98125,7279.524537037037,7279.510648148148,7279.508101851851
1,1,2018,219283.24375,222877.0875,7299.533564814815,7299.539814814814,7299.547685185185
1,1,2019,217003.43125,497731.14375,7299.564814814815,7299.560416666666,7299.541203703704
1,1,2020,477081.8875,218407.4125,7319.565972222222,7319.540277777777,7319.554166666667
1,1,2021,231996.6,296154.96875,7299.566898148148,7299.561111111111,7299.5775462962965
1,1,2022,306517.94375,469916.99375,7299.569444444444,7299.5680555555555,7299.547222222222
1,1,2023,609480.9375,228503.6,7299.561574074074,7299.543981481482,7299.541898148148
1,1,2024,228474.2,552861.6125,7319.531944444444,7319.553240740741,7319.543981481482
1,1,2025,563994.19375,468358.18125,7299.552777777778,7299.538657407407,7299.544675925926
1,1,2026,500912.6875,525655.19375,7299.552314814815,7299.546064814815,7299.541203703703
1,1,2027,479658.15,507863.5125,7299.56412037037,7299.559953703703,7299.548842592592
1,1,2028,707946.89375,521673.68124999997,7319.537268518518,7319.534722222222,7319.561342592592
1,1,2029,326268.75,232270.86875,7299.547916666666,7299.550925925926,7299.553240740741
1,1,2030,273168.28125,228715.7,7299.556481481482,7299.565046296296,7299.524074074074
1,1,2031,225235.34375,258111.0625,7299.538888888889,7299.5581018518515,7299.563425925926
1,1,2032,218896.58125,448834.6125,7319.540046296296,7319.535185185185,7319.558796296296
1,1,2033,299660.0,256049.86875,7299.561805555555,7299.5263888888885,7299.534027777778
1,1,2034,400422.525,262884.1875,7299.55625,7299.5682870370365,7299.561805555555
1,1,2035,60480.0,210619.60625,7299.5261574074075,7299.546064814815,7299.519675925926
1,1,2036,209987.50625,223123.4,7319.553935185185,7319.543518518519,7319.553240740741
2,2,2017,0.0,0.0,7279.525,7279.493055555556,7279.524537037037
2,2,2018,300646.3875,235068.8125,7299.560648148148,7299.525231481482,7299.565046296296
2,2,2019,482184.49374999997,226792.93125,7299.562731481481,7299.54375,7299.5368055555555
2,2,2020,219487.1625,535162.025,7319.559953703703,7319.540277777777,7319.533796296296
2,2,2021,474624.71249999997,290643.34375,7299.544444444445,7299.5574074074075,7299.5569444444445
2,2,2022,277239.04375,498992.89375,7299.5467592592595,7299.538657407407,7299.529629629629
2,2,2023,445377.44375,247902.6125,7299.549305555555,7299.547222222222,7299.52037037037
2,2,2024,448678.8625,489031.15,7319.527777777777,7319.544212962963,7319.540046296296
2,2,2025,716454.5625,669171.35625,7299.558796296296,7299.5569444444445,7299.542592592593
2,2,2026,197319.95625,223059.04375,7299.564814814815,7299.552546296296,7299.563194444444
2,2,2027,257276.79375,240473.11875,7299.5881944444445,7299.563657407407,7299.552777777778
2,2,2028,355011.31875,246579.83125,7319.55,7319.537268518518,7319.540509259259
2,2,2029,229524.59375,229825.2875,7299.547916666666,7299.541435185185,7299.5368055555555
2,2,2030,232571.34375,462789.6375,7299.539814814815,7299.542592592592,7299.540509259259
2,2,2031,554350.81875,274815.03125,7299.573148148148,7299.552546296296,7299.549074074074
2,2,2032,0.0,226932.05625,7319.549305555555,7319.539814814814,7319.547222222222
2,2,2033,504416.27499999997,219346.94375,7299.534027777778,7299.528935185185,7299.557175925926
2,2,2034,237393.3375,494029.5,7299.55625,7299.553472222222,7299.530092592592
2,2,2035,231500.51875,265379.73125,7299.540972222222,7299.537268518518,7299.555324074074
2,2,2036,244008.775,274435.2375,7319.525925925926,7319.608101851852,7319.53587962963
3,3,2017,226826.70625,0.0,7279.528703703703,7279.521064814815,7279.537268518518
3,3,2018,225869.4125,457788.35625,7299.546064814815,7299.544907407408,7299.55462962963
3,3,2019,237585.88125,0.0,7299.542361111111,7299.571759259259,7299.568749999999
3,3,2020,236619.225,304076.16875,7319.551851851852,7319.552777777778,7319.576620370371
3,3,2021,261515.03125,463737.39375,7299.558333333333,7299.54375,7299.586805555556
3,3,2022,231770.5875,242325.1875,7299.553472222222,7299.5995370370365,7299.5569444444445
3,3,2023,576386.73125,516667.71875,7299.562731481481,7299.541898148148,7299.544444444445
3,3,2024,489965.3,476802.71875,7319.535185185185,7319.529629629629,7319.557175925926
3,3,2025,243382.58125,214758.925,7299.570833333333,7299.552083333333,7299.5569444444445
3,3,2026,716664.69375,682948.625,7299.562037037037,7299.555324074074,7299.5576388888885
3,3,2027,213913.5,0.0,7299.556481481482,7299.566203703704,7299.558564814814
3,3,2028,231590.1625,451466.13125,7319.540972222222,7319.5469907407405,7319.558333333333
3,3,2029,247797.175,0.0,7299.5574074074075,7299.537962962962,7299.5365740740735
3,3,2030,651356.05,709323.75,7299.549537037037,7299.525,7299.553472222222
3,3,2031,289437.4625,565733.125,7299.569444444444,7299.529861111111,7299.555092592593
3,3,2032,244478.69375,259757.55,7319.540972222222,7319.566898148148,7319.52037037037
3,3,2033,818702.46875,532317.96875,7299.52824074074,7299.53912037037,7299.537268518518
3,3,2034,518153.64375,459866.65625,7299.547685185185,7299.535416666667,7299.533101851852
3,3,2035,234573.0375,249416.31875,7299.537731481481,7299.558333333333,7299.552777777778
3,3,2036,272844.225,521484.02499999997,7319.539583333333,7319.544212962963,7319.534722222222
4,4,2017,233452.64375,266854.71875,7279.532175925926,7279.54074074074,7279.518055555555
4,4,2018,489721.91875,266013.1875,7299.5682870370365,7299.54212962963,7299.575694444445
4,4,2019,216347.8375,221123.85,7299.532407407407,7299.536111111111,7299.564351851852
4,4,2020,0.0,0.0,7319.5569444444445,7319.540972222222,7319.5368055555555
4,4,2021,284411.375,550169.89375,7299.5576388888885,7299.560416666666,7299.568518518518
4,4,2022,471046.26875,227961.45,7299.552314814815,7299.543055555556,7299.556481481482
4,4,2023,281366.2,565951.6125,7299.568518518518,7299.555555555556,7299.550231481481
4,4,2024,504491.56875000003,503751.7125,7319.564351851852,7319.548379629629,7319.548842592592
4,4,2025,220133.91875,245074.35,7299.553703703704,7299.531018518518,7299.551388888889
4,4,2026,226322.00625,259937.7125,7299.554166666667,7299.566435185185,7299.572916666667
4,4,2027,463611.4375,496616.56875000003,7299.537731481481,7299.554166666667,7299.5569444444445
4,4,2028,244768.93125,272599.4875,7319.538425925925,7319.541203703703,7319.538425925925
4,4,2029,462246.875,218716.50625,7299.5462962962965,7299.536111111111,7299.553472222222
4,4,2030,210435.1125,482937.9125,7299.561805555555,7299.55787037037,7299.528703703703
4,4,2031,479584.2125,238111.40625,7299.591435185185,7299.571064814814,7299.551157407407
4,4,2032,0.0,247622.91875,7319.551388888889,7319.552314814815,7319.5268518518515
4,4,2033,457308.8125,555591.21875,7299.527083333333,7299.540509259259,7299.563425925926
4,4,2034,542043.025,446862.75625000003,7299.5581018518515,7299.542592592592,7299.538888888888
4,4,2035,491847.73125,644846.90625,7299.556481481482,7299.549074074074,7299.5474537037035
4,4,2036,213081.1125,0.0,7319.537499999999,7319.554166666667,7319.553472222222
