id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,0,0,,,,offshore_substation.yaml,export_220kv_1000mm.yaml
S00T1,OSS1,S00T1,0,0,0,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S00T2,OSS1,S00T2,0,0,0,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S00T3,OSS1,S00T3,0,0,0,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S00T4,OSS1,S00T4,0,0,0,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S00T5,OSS1,S00T5,0,0,0,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S01T1,OSS1,S01T1,0,0,1,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S01T2,OSS1,S01T2,0,0,1,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S01T3,OSS1,S01T3,0,0,1,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S01T4,OSS1,S01T4,0,0,1,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S01T5,OSS1,S01T5,0,0,1,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S02T1,OSS1,S02T1,0,0,2,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S02T2,OSS1,S02T2,0,0,2,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S02T3,OSS1,S02T3,0,0,2,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S02T4,OSS1,S02T4,0,0,2,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S02T5,OSS1,S02T5,0,0,2,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S03T1,OSS1,S03T1,0,0,3,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S03T2,OSS1,S03T2,0,0,3,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S03T3,OSS1,S03T3,0,0,3,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S03T4,OSS1,S03T4,0,0,3,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S03T5,OSS1,S03T5,0,0,3,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S04T1,OSS1,S04T1,0,0,4,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S04T2,OSS1,S04T2,0,0,4,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S04T3,OSS1,S04T3,0,0,4,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S04T4,OSS1,S04T4,0,0,4,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S04T5,OSS1,S04T5,0,0,4,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S05T1,OSS1,S05T1,0,0,5,0,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S05T2,OSS1,S05T2,0,0,5,1,0,15MW_turbine_base_cold.yaml,array_66kV_630mm.yaml
S05T3,OSS1,S05T3,0,0,5,2,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S05T4,OSS1,S05T4,0,0,5,3,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
S05T5,OSS1,S05T5,0,0,5,4,0,15MW_turbine_base_cold.yaml,array_66kV_185mm.yaml
