run,random_seed,time_based_availability,production_based_availability
1,1,0.9603696092674244,0.908960959866755
2,2,0.9602947388474867,0.9184665278620441
3,3,0.9610380818011391,0.9179643841742186
4,4,0.9602770342685839,0.9244526007415562
5,5,0.9611112066992131,0.9200039134990361
6,6,0.9603751575333482,0.9150816624075745
7,7,0.9604414873641672,0.9182659575744617
8,8,0.9599746226057051,0.920737849202288
9,9,0.9602794655311797,0.9174665701054554
10,10,0.9611358933655706,0.9159247662693847
11,11,0.9603384392341447,0.9120507035512682
12,12,0.9605126797201778,0.9124137785427706
13,13,0.9612659347444132,0.9151191914786025
14,14,0.9600565374531639,0.9150792866381973
15,15,0.9603451096212666,0.91015557388676
16,16,0.960891582644725,0.9157545646737459
17,17,0.960235017063723,0.9125718373982029
18,18,0.9604076990480921,0.9216601570593375
19,19,0.9604423601250991,0.914430621624431
20,20,0.9608873435201989,0.9145350096734134
21,21,0.9614674801795993,0.9181488522298226
22,22,0.9608901488231941,0.9144021239984943
23,23,0.960392301051652,0.919376760833886
24,24,0.959859355822637,0.9142939916216075
25,25,0.9601135162739991,0.9139466765399896
