run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,1697346.225,0,1703197,8505511.225
1,1,2018,5104968.0,0.0,1843185.1041666667,0,1925170,8873323.104166666
1,1,2019,5104968.0,0.0,1695989.495138889,0,1636983,8437940.49513889
1,1,2020,5118954.21369863,0.0,1699831.7527777778,0,1922924,8741709.966476409
1,1,2021,5104968.0,0.0,1843186.1583333334,0,1899202,8847356.158333333
1,1,2022,5104968.0,0.0,1990382.8372685185,0,1791254,8886604.837268518
1,1,2023,5104968.0,0.0,1842755.1155092593,0,1796697,8744420.115509259
1,1,2024,5118954.21369863,0.0,1699829.7648148148,0,1900338,8719121.978513446
1,1,2025,5104968.0,0.0,1843184.9990740742,0,1744800,8692952.999074074
1,1,2026,5104968.0,0.0,1843185.9916666667,0,1477679,8425832.991666667
1,1,2027,5104968.0,0.0,1695989.3530092593,0,2055076,8856033.35300926
1,1,2028,5118954.21369863,0.0,1994220.8597222222,0,1366796,8479971.073420852
1,1,2029,5104968.0,0.0,1695990.1868055556,0,1877369,8678327.186805556
1,1,2030,5104968.0,0.0,1843186.2863425927,0,1705195,8653349.286342593
1,1,2031,5104968.0,0.0,1843185.7856481483,0,2161308,9109461.785648149
1,1,2032,5118954.21369863,0.0,2185549.9606481483,0,1802759,9107263.174346779
1,1,2033,5104968.0,0.0,1843186.799074074,0,1630302,8578456.799074074
1,1,2034,5104968.0,0.0,1695990.3625,0,1903215,8704173.3625
1,1,2035,5104968.0,0.0,1695989.5564814815,0,1899154,8700111.55648148
1,1,2036,5118954.21369863,0.0,1847026.0087962963,0,2143931,9109911.222494926
