run,random_seed,time_based_availability,production_based_availability
1,1,0.9559495891353703,0.9518711524137732
2,2,0.9567750586281573,0.9538900419183243
3,3,0.9570618410176427,0.9539436587870707
4,4,0.9572381930184805,0.9541365858713536
5,5,0.9544083324917808,0.9509452923431484
6,6,0.9563854198224885,0.9531463119567692
7,7,0.957049217730202,0.9540400088172156
8,8,0.956830788104562,0.9534478302521668
9,9,0.9565900105848603,0.9526415349035711
10,10,0.9568825903359851,0.9536297985001698
11,11,0.9566838904410857,0.9532666012046437
12,12,0.9575593855544708,0.9555869694173227
13,13,0.9561271567120357,0.9528936644556174
14,14,0.9557785669670074,0.9524908585409743
15,15,0.9582259886371712,0.9549975367342352
16,16,0.9577233947853667,0.9548538069305512
17,17,0.9562706881655277,0.9521505337356148
18,18,0.95606880907231,0.9529489417970533
19,19,0.955573695687137,0.951375372770556
20,20,0.9558866597098327,0.9505102196622547
21,21,0.9557099336856633,0.9526587876673019
22,22,0.9543066916514252,0.9511423829448344
23,23,0.955543773820611,0.9520028876466636
24,24,0.9565151124127123,0.9536771764312127
25,25,0.9568089077396648,0.9532058733813882
26,26,0.957378638779487,0.9541757318612097
27,27,0.9562532960806095,0.9517924208419439
28,28,0.9566798696902713,0.9533731836365705
29,29,0.9572769044332986,0.9542581568837132
30,30,0.9567765547214835,0.9526274141944625
31,31,0.9584705063901886,0.955939263035923
32,32,0.9560185029342131,0.9522228841425634
33,33,0.9567186746109222,0.9538706556475622
34,34,0.955754255450455,0.9511922456935342
35,35,0.9569454262556898,0.9542177736696859
36,36,0.9555077740749468,0.9514550647050136
37,37,0.9569392548707188,0.9538366277014887
38,38,0.9542084170210537,0.9491645374822085
39,39,0.9564372220539117,0.9531526550366926
40,40,0.9562064496583297,0.9530563487226323
41,41,0.9566292830346756,0.9523233516253292
42,42,0.9553256247124695,0.9524640355324856
43,43,0.956154273403575,0.952566710987565
44,44,0.9576268967658202,0.9549767903076044
45,45,0.9570679188967808,0.9535823279772612
46,46,0.9551012107135243,0.9496279236181091
47,47,0.9572216424860582,0.9537209093381127
48,48,0.9573026185373443,0.9539314294284787
49,49,0.955667108014198,0.9524666710218478
50,50,0.9560612350998455,0.952970203663811
