run,random_seed,time_based_availability,production_based_availability
1,1,0.95788261465211,0.9077446470025963
2,2,0.958373417996131,0.9103486782334569
3,3,0.9573470511402996,0.9107567583727199
4,4,0.9584204847463832,0.9120918674194691
5,5,0.9584087024738035,0.912182187564852
6,6,0.9575590073666009,0.9121203783320899
7,7,0.9583039088219174,0.9082816905682056
8,8,0.9581171379825059,0.9160555892034793
9,9,0.9584275291739044,0.9134890936134209
10,10,0.9584484754362682,0.9102089211501061
11,11,0.9580584759798736,0.9186890220147593
12,12,0.9582671281826474,0.9182217009961986
13,13,0.9531587337685169,0.9070121484316737
14,14,0.9591540403095857,0.9188938777879231
15,15,0.9585716594077893,0.9138626225465024
16,16,0.9579008179515454,0.9154503408810252
17,17,0.9585364372701833,0.9102808006274121
18,18,0.9587327461397784,0.917561417174766
19,19,0.9577297568089067,0.9133018259112854
20,20,0.9581061661307915,0.9122640155005473
21,21,0.9585389308728457,0.9144309706062433
22,22,0.9577614879027854,0.9148107990149571
23,23,0.9527366915179108,0.9099572082435131
24,24,0.9581162028815075,0.9126262618888193
25,25,0.949700418576143,0.909702288265314
