run,random_seed,time_based_availability,production_based_availability
1,1,0.9390874102470488,0.9372249684088407
2,2,0.9398233083850553,0.9377881536739664
3,3,0.9397548527443106,0.9353777435719848
4,4,0.9359338870634052,0.933213799513159
5,5,0.9394171382499695,0.9372031248967846
6,6,0.9417126840696117,0.9390797001018044
7,7,0.9389447943288305,0.93664274217748
8,8,0.9380358555433856,0.9327151243861811
9,9,0.940548557867835,0.9365603581274397
10,10,0.9385922477789947,0.9345833037073388
11,11,0.93981494158452,0.9359924458275347
12,12,0.9391273427041499,0.936966090417693
13,13,0.9388280394304491,0.9373409644997397
14,14,0.9349652397468663,0.9340852256735835
15,15,0.940172812461969,0.9382495621521123
16,16,0.9394844529633686,0.9368295343672356
17,17,0.9386709717658512,0.9348795864347741
18,18,0.9391592886698309,0.9351672945431151
19,19,0.9385139041012535,0.9354165715117461
20,20,0.9393927984665936,0.9362425532977161
21,21,0.9367439454788853,0.9329619006066834
22,22,0.9381252281854692,0.9357866837807307
23,23,0.9383769928197639,0.9362359880974255
24,24,0.9397590361445783,0.9366006245333554
25,25,0.9415069368382621,0.9401122399985531
26,26,0.9400822988925398,0.9369931650118714
27,27,0.940702963368626,0.9381151157717696
28,28,0.940100934039187,0.9369815996830848
29,29,0.938233616283315,0.9357347343828976
30,30,0.941300428988682,0.9380873202290785
31,31,0.9391851496896677,0.9370229269947453
32,32,0.9378129944018498,0.9352694032928055
33,33,0.9406192953632713,0.9371648099965457
34,34,0.9363959626384325,0.9343261158651771
35,35,0.9398647620786175,0.936798601853102
36,36,0.9381088748935135,0.9351918413837444
37,37,0.9399130613362541,0.937675683899695
38,38,0.9389721765851284,0.9355053506270543
39,39,0.9403226542533771,0.9384691665028025
40,40,0.9391505415601801,0.9367065355824796
41,41,0.9402195904831447,0.9380627302912156
42,42,0.9405230771571133,0.9372963417377748
43,43,0.9380738864549105,0.9338020379251808
44,44,0.9391391322867226,0.9363336397350395
45,45,0.9383526530363879,0.9361599233658094
46,46,0.9388143483023002,0.9359665486796523
47,47,0.9416921473773884,0.9383777562097623
48,48,0.9396373372276987,0.9370555192058494
49,49,0.9386443501277839,0.9349917368607161
50,50,0.940435606060606,0.9365447483555315
