run,random_seed,time_based_availability,production_based_availability
1,1,0.9554844911225562,0.9238819499655722
2,2,0.9540518882567894,0.9216157752295145
3,3,0.9539133126124407,0.9229987256110328
4,4,0.9547017537954018,0.9245052491200014
5,5,0.9536837557926864,0.9220572661624166
6,6,0.9532751353029402,0.9187892235023951
7,7,0.9534798195711448,0.9245028084381658
8,8,0.9540514207276249,0.9169439720469532
9,9,0.954630128327405,0.9261613756122263
10,10,0.953540504856693,0.9221772507834852
11,11,0.9535729513807071,0.9231762568300037
12,12,0.9544142233592532,0.9255872681699535
13,13,0.9547968492274548,0.9243329248437573
14,14,0.9536645870969431,0.9186959143763493
15,15,0.9542922917531595,0.9207828994488921
16,16,0.9537198490441834,0.9240011736752541
17,17,0.9535164738576393,0.9238663510524655
18,18,0.9518868542019652,0.9189126624545797
19,19,0.9532172551923789,0.9235622284918675
20,20,0.9543859845977192,0.9328124300476045
21,21,0.9550588525712234,0.9251739695522079
22,22,0.9551940620055879,0.9259784448015288
23,23,0.9548610877346528,0.9253630777920981
24,24,0.9544870644030775,0.9257884843892457
25,25,0.9540376753701896,0.9221217338632385
26,26,0.9547370054944028,0.9218972069268779
27,27,0.9541653108320897,0.9254297993875961
28,28,0.9536413976503855,0.9246216303054883
29,29,0.9534718715753489,0.9221248749836497
30,30,0.9546762267030218,0.924342747459733
31,31,0.9534555080545924,0.9232899675758925
32,32,0.95253260548393,0.9233315132156847
33,33,0.9540553479726065,0.9184987586071804
34,34,0.9542317934792772,0.9178003401030136
35,35,0.9529144833054686,0.9245832169307107
36,36,0.9539788602012994,0.9218266358072229
37,37,0.9535815539173333,0.9209396762363833
38,38,0.9542474089533705,0.9219891827492103
39,39,0.9543608315286708,0.9263896066448588
40,40,0.9544910851538919,0.9184656605451592
41,41,0.9549978867681767,0.9224283572004535
42,42,0.9547927349708075,0.923824680365729
43,43,0.9539170528457566,0.9226539759243619
44,44,0.9541983183911013,0.9258786597778981
45,45,0.9544542438557317,0.9202977902044053
46,46,0.954424041471707,0.9241630919338248
47,47,0.953203135811612,0.9296050118218171
48,48,0.9535723903457097,0.9196687149381467
49,49,0.9540167300636214,0.9201306482357945
50,50,0.9541531550738135,0.9249457952240101
