subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,620048.3706018518,620048.3706018518
blades,repair,1,1,599699,0,98157.5,697856.5
controls,delay,1,1,0,0,29650.981944444444,29650.981944444444
controls,repair,1,1,609273,0,7513.333333333333,616786.3333333334
electrical,delay,1,1,0,0,158489.5375,158489.5375
electrical,repair,1,1,238975,0,6406.666666666667,245381.66666666666
gearbox,delay,1,1,0,0,26431397.770833332,26431397.770833332
gearbox,repair,1,1,21309502,0,2044060.0,23353562.0
generator,delay,1,1,0,0,8101265.2405092595,8101265.2405092595
generator,repair,1,1,7627034,0,510301.0416666667,8137335.041666667
heat_cool,delay,1,1,0,0,1557.4571759259259,1557.4571759259259
heat_cool,repair,1,1,281992,0,1562.5,283554.5
hub,delay,1,1,0,0,6412.439351851852,6412.439351851852
hub,repair,1,1,251638,0,5008.333333333333,256646.33333333334
main_bearing_failures,delay,1,1,0,0,69393.65787037037,69393.65787037037
main_bearing_failures,repair,1,1,927500,0,37194.0,964694.0
main_bearing_maintenance,delay,1,1,0,0,2805.7425925925927,2805.7425925925927
main_bearing_maintenance,maintenance,1,1,622500,0,1245.0,623745.0
oil,delay,1,1,0,0,3016.5819444444446,3016.5819444444446
oil,repair,1,1,250176,0,2900.0,253075.99999999997
other,delay,1,1,0,0,124064.16712962964,124064.16712962964
other,repair,1,1,738108,0,14713.333333333334,752821.3333333334
pitch,delay,1,1,0,0,20260.50671296296,20260.50671296296
pitch,repair,1,1,1578325,0,16980.833333333332,1595305.8333333335
power_supply,delay,1,1,0,0,488676.10092592594,488676.10092592594
power_supply,repair,1,1,1505280,0,56536.666666666664,1561816.6666666665
pump_motor,delay,1,1,0,0,3005.7439814814816,3005.7439814814816
pump_motor,repair,1,1,572252,0,2457.4972222222223,574709.4972222223
relay,delay,1,1,0,0,4819.045601851852,4819.045601851852
relay,repair,1,1,703431,0,4015.0,707446.0
safety,delay,1,1,0,0,1878.1942129629629,1878.1942129629629
safety,repair,1,1,174082,0,1181.6666666666665,175263.66666666666
sensors,delay,1,1,0,0,5474.0569444444445,5474.0569444444445
sensors,repair,1,1,649740,0,3833.333333333333,653573.3333333334
service_items,delay,1,1,0,0,1989.9599537037036,1989.9599537037036
service_items,repair,1,1,29283,0,1324.1666666666667,30607.166666666668
tower_substructure,delay,1,1,0,0,1372.424074074074,1372.424074074074
tower_substructure,repair,1,1,351870,0,1001.6666666666666,352871.6666666667
transformer,delay,1,1,0,0,1182.4895833333333,1182.4895833333333
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,4025,0,70.0,4095.0
xformer,delay,1,1,0,0,551.6608796296296,551.6608796296296
xformer,repair,1,1,32316,0,627.5,32943.5
yaw,delay,1,1,0,0,179939.12453703702,179939.12453703702
yaw,repair,1,1,181735,0,24577.5,206312.5
blades,delay,2,2,0,0,7339.021759259259,7339.021759259259
blades,repair,2,2,281513,0,6752.5,288265.5
controls,delay,2,2,0,0,68650.54629629629,68650.54629629629
controls,repair,2,2,587301,0,7885.0,595186.0
electrical,delay,2,2,0,0,234964.42638888888,234964.42638888888
electrical,repair,2,2,305482,0,14909.166666666666,320391.1666666666
gearbox,delay,2,2,0,0,27551424.857175928,27551424.857175928
gearbox,repair,2,2,22010216,0,2140756.875,24150972.875
generator,delay,2,2,0,0,5896783.0217592595,5896783.0217592595
generator,repair,2,2,6688481,0,413469.1666666667,7101950.166666667
heat_cool,delay,2,2,0,0,2148.2722222222224,2148.2722222222224
heat_cool,repair,2,2,317776,0,1760.8333333333335,319536.8333333333
hub,delay,2,2,0,0,5890.772916666667,5890.772916666667
hub,repair,2,2,260828,0,5125.0,265953.0
main_bearing_failures,delay,2,2,0,0,238.33125,238.33125
main_bearing_failures,repair,2,2,790500,0,170.0,790670.0
main_bearing_maintenance,delay,2,2,0,0,2841.6546296296297,2841.6546296296297
main_bearing_maintenance,maintenance,2,2,647500,0,1295.0,648795.0
oil,delay,2,2,0,0,3807.3668981481483,3807.3668981481483
oil,repair,2,2,257946,0,3000.0,260945.99999999997
other,delay,2,2,0,0,265774.33680555556,265774.33680555556
other,repair,2,2,672566,0,19645.0,692211.0
pitch,delay,2,2,0,0,19224.7,19224.7
pitch,repair,2,2,1567105,0,16733.333333333332,1583838.3333333335
power_supply,delay,2,2,0,0,719721.2613425925,719721.2613425925
power_supply,repair,2,2,1607466,0,47652.5,1655118.5
pump_motor,delay,2,2,0,0,2603.2421296296297,2603.2421296296297
pump_motor,repair,2,2,546706,0,2463.333333333333,549169.3333333334
relay,delay,2,2,0,0,1444025.0831018519,1444025.0831018519
relay,repair,2,2,725568,0,74710.0,800278.0
safety,delay,2,2,0,0,1629.8717592592593,1629.8717592592593
safety,repair,2,2,160332,0,1197.5,161529.5
sensors,delay,2,2,0,0,3840.7467592592593,3840.7467592592593
sensors,repair,2,2,704525,0,3958.333333333333,708483.3333333334
service_items,delay,2,2,0,0,1654.1282407407407,1654.1282407407407
service_items,repair,2,2,32128,0,1372.5,33500.5
tower_substructure,delay,2,2,0,0,1375.782175925926,1375.782175925926
tower_substructure,repair,2,2,376145,0,1044.1666666666667,377189.1666666667
transformer,delay,2,2,0,0,1080.8282407407407,1080.8282407407407
transformer,maintenance,2,2,4176,0,580.0,4756.0
transformer,repair,2,2,1150,0,20.0,1170.0
xformer,delay,2,2,0,0,3027.4516203703706,3027.4516203703706
xformer,repair,2,2,147441,0,855.0,148296.0
yaw,delay,2,2,0,0,130639.44768518518,130639.44768518518
yaw,repair,2,2,134066,0,9155.0,143221.0
blades,delay,3,3,0,0,992922.5796296296,992922.5796296296
blades,repair,3,3,424776,0,52145.0,476921.0
controls,delay,3,3,0,0,6454.872916666666,6454.872916666666
controls,repair,3,3,512520,0,5438.333333333333,517958.3333333333
electrical,delay,3,3,0,0,133893.96435185184,133893.96435185184
electrical,repair,3,3,332333,0,17577.5,349910.5
gearbox,delay,3,3,0,0,29616344.97037037,29616344.97037037
gearbox,repair,3,3,20900101,0,2007140.8333333333,22907241.833333332
generator,delay,3,3,0,0,4781424.236805555,4781424.236805555
generator,repair,3,3,6722787,0,400810.0,7123597.0
heat_cool,delay,3,3,0,0,1424.9340277777778,1424.9340277777778
heat_cool,repair,3,3,296272,0,1641.6666666666667,297913.6666666666
hub,delay,3,3,0,0,7060.781481481481,7060.781481481481
hub,repair,3,3,276138,0,5483.333333333333,281621.3333333333
main_bearing_failures,delay,3,3,0,0,311816.95,311816.95
main_bearing_failures,repair,3,3,1390000,0,74288.0,1464288.0
main_bearing_maintenance,delay,3,3,0,0,3424.1368055555554,3424.1368055555554
main_bearing_maintenance,maintenance,3,3,637500,0,1275.0,638775.0
oil,delay,3,3,0,0,3927.357407407407,3927.357407407407
oil,repair,3,3,247077,0,3020.0,250096.99999999997
other,delay,3,3,0,0,280797.6118055555,280797.6118055555
other,repair,3,3,700124,0,20216.666666666668,720340.6666666666
pitch,delay,3,3,0,0,20446.317824074074,20446.317824074074
pitch,repair,3,3,1531135,0,16875.833333333332,1548010.8333333335
power_supply,delay,3,3,0,0,181338.68842592594,181338.68842592594
power_supply,repair,3,3,1374752,0,11620.0,1386372.0
pump_motor,delay,3,3,0,0,2703.2409722222224,2703.2409722222224
pump_motor,repair,3,3,519408,0,2316.6666666666665,521724.6666666667
