run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
1,1,2017,1381116.38125,0.0,0.0,7279.462037037037,7279.435185185185,7279.425925925926
1,1,2018,1163700.45,510391.4125,0.0,7299.464814814814,7299.428935185185,7299.459722222222
1,1,2019,1204094.825,469996.25,0.0,7299.485879629629,7299.457638888889,7299.472453703704
1,1,2020,1383480.0,0.0,987993.09,7319.4638888888885,7319.443518518518,7319.451157407408
1,1,2021,1098260.38125,575832.26875,0.0,7299.44537037037,7299.449305555556,7299.488657407407
1,1,2022,1193388.80625,480701.0875,0.0,7299.4537037037035,7299.444675925925,7299.47037037037
1,1,2023,1302533.15625,371558.75,0.0,7299.425925925926,7299.434953703703,7299.435185185185
1,1,2024,1383480.0,0.0,0.0,7319.463425925926,7319.45625,7319.456481481481
1,1,2025,777821.075,1043465.3625,0.0,7299.4631944444445,7299.449305555556,7299.455555555555
1,1,2026,1526423.25625,472.5,0.0,7299.461574074074,7299.427777777778,7299.4428240740735
1,1,2027,1264977.325,409114.3625,0.0,7299.45787037037,7299.458796296296,7299.445601851851
1,1,2028,1235674.40625,442197.5,0.0,7319.440740740741,7319.459722222222,7319.464583333333
1,1,2029,1020875.625,506020.35,0.0,7299.4428240740735,7299.456712962963,7299.444675925925
1,1,2030,1381720.175,145175.625,0.0,7299.4837962962965,7299.475231481481,7299.44837962963
1,1,2031,1248717.175,719763.53125,0.0,7299.435185185185,7299.465046296296,7299.429861111111
1,1,2032,1085214.375,445461.73125,0.0,7319.477546296296,7319.441203703704,7319.415972222222
1,1,2033,1199536.61875,621751.39375,818099.3099999999,7299.43287037037,7299.45625,7299.475462962963
1,1,2034,1204685.66875,469405.625,0.0,7299.467824074074,7299.459953703704,7299.478009259259
1,1,2035,1306430.75625,367660.625,0.0,7299.402314814814,7299.415740740741,7299.4643518518515
1,1,2036,1306631.13125,371238.7625,0.0,7319.448611111111,7319.451620370371,7319.457407407407
1,1,2037,1262532.00625,411560.46875,0.0,7299.46412037037,7299.4425925925925,7299.467361111111
1,1,2038,1379700.0,0.0,0.0,7299.44212962963,7299.450231481482,7299.4432870370365
1,1,2039,1272333.1,401759.375,0.0,7299.458564814815,7299.47337962963,7299.446296296296
1,1,2040,1190003.5625,487868.7375,0.0,7319.46087962963,7319.455787037037,7319.470601851852
1,1,2041,1285475.625,241420.48125,0.0,7299.417592592593,7299.4638888888885,7299.461805555556
1,1,2042,1360221.1625,166674.375,0.0,7299.425462962963,7299.439583333333,7299.46412037037
1,1,2043,1306357.2125,367735.4375,0.0,7299.4425925925925,7299.443518518518,7299.472453703704
1,1,2044,1287492.0375,390380.0,0.0,7319.447916666667,7319.428472222222,7319.440046296296
1,1,2045,1105858.79375,715428.65,0.0,7299.450231481482,7299.4319444444445,7299.4319444444445
1,1,2046,1193861.65625,480229.8125,1881170.004,7299.459722222222,7299.429398148148,7299.422222222222
2,2,2017,1495238.0375,0.0,0.0,7279.470138888889,7279.467592592592,7279.449305555556
2,2,2018,1294858.925,379231.58125,0.0,7299.423611111111,7299.437037037037,7299.43287037037
2,2,2019,1071839.975,602252.19375,0.0,7299.4532407407405,7299.456018518518,7299.479398148148
2,2,2020,1147793.825,530078.08125,0.0,7319.436805555555,7319.458101851852,7319.468055555555
2,2,2021,1213229.86875,460861.25,0.0,7299.444444444444,7299.471527777778,7299.483101851852
2,2,2022,1193385.13125,480706.25,0.0,7299.4643518518515,7299.441435185185,7299.444675925925
2,2,2023,1381996.36875,292095.275,0.0,7299.437268518518,7299.479166666666,7299.415277777777
2,2,2024,849445.5125,975622.4125,0.0,7319.4631944444445,7319.451157407408,7319.435648148148
2,2,2025,907010.66875,767081.0625,0.0,7299.43449074074,7299.45,7299.455787037037
2,2,2026,935443.88125,738647.98125,0.0,7299.4625,7299.4537037037035,7299.435648148148
2,2,2027,1091014.4625,435881.25,0.0,7299.4643518518515,7299.477083333333,7299.443518518518
2,2,2028,1333402.45625,344468.75,0.0,7319.4425925925925,7319.474999999999,7319.408333333333
2,2,2029,866013.75,643083.71875,0.0,7299.449074074074,7299.489814814815,7299.440046296296
2,2,2030,1336331.31875,502751.0,0.0,7299.46087962963,7299.452314814815,7299.447453703704
