run,random_seed,time_based_availability,production_based_availability
1,1,0.9607857915517739,0.9116804086012372
2,2,0.9612188056540945,0.9191630384392045
3,3,0.959910412337149,0.911963857902697
4,4,0.9604551398387438,0.9166054065478461
5,5,0.9604417367244334,0.9169004970172172
6,6,0.9597391018342443,0.9142652997084939
7,7,0.9611613904527934,0.9159646429454137
8,8,0.9611223655711273,0.917790416164596
9,9,0.9611551564461375,0.9136244216892306
10,10,0.9605570658475681,0.9149597597938767
11,11,0.960380269418806,0.9168341858831635
12,12,0.960525397093756,0.920719699021162
13,13,0.9611585851497982,0.9171806374590332
14,14,0.9607751937404588,0.9162149254824279
15,15,0.9607568034208239,0.9160660883113099
16,16,0.9602867593189672,0.9199361319926596
17,17,0.9602742289655888,0.9096610655235803
18,18,0.9604034599235661,0.9207142304255066
19,19,0.9594456048008834,0.9171804086138481
20,20,0.9612600124380901,0.9165106225130385
21,21,0.9605614296522272,0.9142017682957089
22,22,0.9594331367875715,0.9139473738162569
23,23,0.9602770966086505,0.918237768608921
24,24,0.9603757809340138,0.918561419687668
25,25,0.9604428588456315,0.9208335547812344
