subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,7763.994212962963,7763.994212962963
blades,repair,1,1,309646,0,7325.0,316971.0
controls,delay,1,1,0,0,6592.339814814814,6592.339814814814
controls,repair,1,1,528716,0,5716.666666666666,534432.6666666666
electrical,delay,1,1,0,0,70022.60763888889,70022.60763888889
electrical,repair,1,1,262262,0,8983.333333333334,271245.3333333333
gearbox,delay,1,1,0,0,29444269.663425926,29444269.663425926
gearbox,repair,1,1,19780058,0,1898225.0,21678283.0
generator,delay,1,1,0,0,4529594.248611111,4529594.248611111
generator,repair,1,1,6755570,0,413366.6666666667,7168936.666666667
heat_cool,delay,1,1,0,0,1798.2749999999999,1798.2749999999999
heat_cool,repair,1,1,285288,0,1580.8333333333335,286868.8333333333
hub,delay,1,1,0,0,980062.5606481482,980062.5606481482
hub,repair,1,1,545225,0,98745.0,643970.0
main_bearing_failures,delay,1,1,0,0,549607.8,549607.8
main_bearing_failures,repair,1,1,7876920,0,158760.0,8035680.0
main_bearing_maintenance,delay,1,1,0,0,23461.316435185185,23461.316435185185
main_bearing_maintenance,maintenance,1,1,7340000,0,9175.0,7349175.0
oil,delay,1,1,0,0,3582.3629629629627,3582.3629629629627
oil,repair,1,1,274257,0,3103.333333333333,277360.3333333333
other,delay,1,1,0,0,24126.328703703704,24126.328703703704
other,repair,1,1,702618,0,14543.333333333334,717161.3333333334
pitch,delay,1,1,0,0,18482.212962962964,18482.212962962964
pitch,repair,1,1,1604255,0,17240.833333333332,1621495.8333333335
power_supply,delay,1,1,0,0,1381735.1488425925,1381735.1488425925
power_supply,repair,1,1,1797289,0,68433.75,1865722.75
pump_motor,delay,1,1,0,0,3290.717361111111,3290.717361111111
pump_motor,repair,1,1,519152,0,2410.0,521562.00000000006
relay,delay,1,1,0,0,217673.75787037038,217673.75787037038
relay,repair,1,1,666787,0,27354.166666666668,694141.1666666666
safety,delay,1,1,0,0,1216.5675925925925,1216.5675925925925
safety,repair,1,1,166418,0,1145.8333333333333,167563.8333333333
sensors,delay,1,1,0,0,3878.258796296296,3878.258796296296
sensors,repair,1,1,761084,0,3920.0,765004.0
service_items,delay,1,1,0,0,1696.6270833333333,1696.6270833333333
service_items,repair,1,1,37044,0,1434.1666666666667,38478.16666666667
tower_substructure,delay,1,1,0,0,939.1266203703703,939.1266203703703
tower_substructure,repair,1,1,338311,0,1000.8333333333334,339311.8333333334
transformer,delay,1,1,0,0,1100.8300925925926,1100.8300925925926
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,4600,0,80.0,4680.0
xformer,delay,1,1,0,0,3015.3564814814818,3015.3564814814818
xformer,repair,1,1,151009,0,870.8333333333334,151879.83333333334
yaw,delay,1,1,0,0,2074.069675925926,2074.069675925926
yaw,repair,1,1,151001,0,1612.5,152613.5
blades,delay,2,2,0,0,8745.662268518518,8745.662268518518
blades,repair,2,2,302819,0,7187.5,310006.5
controls,delay,2,2,0,0,99716.1625,99716.1625
controls,repair,2,2,590834,0,9305.0,600139.0
electrical,delay,2,2,0,0,3905.696296296296,3905.696296296296
electrical,repair,2,2,228122,0,3434.166666666667,231556.16666666666
gearbox,delay,2,2,0,0,27437588.251851853,27437588.251851853
gearbox,repair,2,2,20569778,0,1996542.7083333333,22566320.708333332
generator,delay,2,2,0,0,6217849.018287037,6217849.018287037
generator,repair,2,2,6862961,0,413853.3314814815,7276814.331481482
heat_cool,delay,2,2,0,0,2292.433564814815,2292.433564814815
heat_cool,repair,2,2,308304,0,1708.3333333333335,310012.3333333333
hub,delay,2,2,0,0,1526432.6467592593,1526432.6467592593
hub,repair,2,2,594801,0,99445.0,694246.0
main_bearing_failures,delay,2,2,0,0,491016.53125,491016.53125
main_bearing_failures,repair,2,2,7220510,0,145530.0,7366040.0
main_bearing_maintenance,delay,2,2,0,0,22775.54375,22775.54375
main_bearing_maintenance,maintenance,2,2,7336000,0,9170.0,7345170.0
oil,delay,2,2,0,0,3685.665509259259,3685.665509259259
oil,repair,2,2,259887,0,2998.333333333333,262885.3333333333
other,delay,2,2,0,0,56676.58587962963,56676.58587962963
other,repair,2,2,669944,0,14365.833333333334,684309.8333333334
pitch,delay,2,2,0,0,221486.50787037038,221486.50787037038
pitch,repair,2,2,1559985,0,20697.497916666667,1580682.4979166668
power_supply,delay,2,2,0,0,273010.0171296296,273010.0171296296
power_supply,repair,2,2,1332646,0,20469.166666666668,1353115.1666666665
pump_motor,delay,2,2,0,0,2951.560185185185,2951.560185185185
pump_motor,repair,2,2,538696,0,2413.333333333333,541109.3333333334
relay,delay,2,2,0,0,700672.2273148148,700672.2273148148
relay,repair,2,2,683694,0,27501.666666666668,711195.6666666666
safety,delay,2,2,0,0,1333.2016203703704,1333.2016203703704
safety,repair,2,2,182588,0,1274.1666666666665,183862.16666666666
sensors,delay,2,2,0,0,3985.7516203703703,3985.7516203703703
sensors,repair,2,2,576098,0,3615.0,579713.0
service_items,delay,2,2,0,0,1451.6053240740741,1451.6053240740741
service_items,repair,2,2,35876,0,1461.6666666666667,37337.66666666667
tower_substructure,delay,2,2,0,0,1502.4483796296297,1502.4483796296297
tower_substructure,repair,2,2,364175,0,1072.5,365247.5
transformer,delay,2,2,0,0,999.1594907407407,999.1594907407407
transformer,maintenance,2,2,4176,0,580.0,4756.0
transformer,repair,2,2,5175,0,90.0,5265.0
xformer,delay,2,2,0,0,8222.500231481481,8222.500231481481
xformer,repair,2,2,147903,0,872.5,148775.5
yaw,delay,2,2,0,0,32290.780787037038,32290.780787037038
yaw,repair,2,2,146361,0,9163.333333333334,155524.33333333334
blades,delay,3,3,0,0,1115021.249074074,1115021.249074074
blades,repair,3,3,440953,0,52537.5,493490.5
controls,delay,3,3,0,0,46235.285416666666,46235.285416666666
controls,repair,3,3,533882,0,9121.666666666666,543003.6666666666
electrical,delay,3,3,0,0,4238.217592592592,4238.217592592592
electrical,repair,3,3,251430,0,3675.8333333333335,255105.8333333333
gearbox,delay,3,3,0,0,26201502.08472222,26201502.08472222
gearbox,repair,3,3,19009178,0,1825755.4166666667,20834933.416666668
generator,delay,3,3,0,0,6641865.996296296,6641865.996296296
generator,repair,3,3,7083166,0,464103.3333333333,7547269.333333333
heat_cool,delay,3,3,0,0,1553.2907407407406,1553.2907407407406
heat_cool,repair,3,3,280032,0,1551.6666666666667,281583.6666666666
hub,delay,3,3,0,0,1133814.7356481482,1133814.7356481482
hub,repair,3,3,414341,0,52276.666666666664,466617.6666666667
main_bearing_failures,delay,3,3,0,0,1106857.98125,1106857.98125
main_bearing_failures,repair,3,3,13128200,0,264600.0,13392800.0
