run,random_seed,time_based_availability,production_based_availability
1,1,0.9563562891591639,0.9532228487415156
2,2,0.9602414924796855,0.9577176985819875
3,3,0.9574571333298233,0.9544851166473022
4,4,0.9589927868161955,0.9568743993555441
5,5,0.9594624774039558,0.9556617396947253
6,6,0.9598358605802138,0.9573622114217396
7,7,0.9585744309306937,0.9552885256013081
8,8,0.9583304814054301,0.955953608660517
9,9,0.9575613383878271,0.9543591268528558
10,10,0.9582056547148949,0.9552183704006486
11,11,0.9585592937748996,0.9564128596187695
12,12,0.9574231295740536,0.9540672519986217
13,13,0.959370118815704,0.9567966905260074
14,14,0.957767115955001,0.9553540081409415
15,15,0.957826348303761,0.9556701514963544
16,16,0.9601438687937661,0.9579171887427622
17,17,0.9592556029414345,0.9574026016768384
18,18,0.955471533371944,0.9526853957173568
19,19,0.9573897839554923,0.9535362234499606
20,20,0.9572906246160866,0.953347270830951
21,21,0.9586158935748258,0.9560427070422599
22,22,0.9562147896593481,0.9536541049932912
23,23,0.9599615647870268,0.957216364899492
24,24,0.9601489145123642,0.9579954612256797
25,25,0.9577399129503852,0.9547840591175878
26,26,0.9598918022429316,0.9563949485880207
27,27,0.9601289510170413,0.9569471664683322
28,28,0.9587165885677179,0.9563214630140123
29,29,0.9576190350831008,0.9551740496801928
30,30,0.9576017041366117,0.9548559786253247
31,31,0.9583682146053809,0.9556028037235996
32,32,0.9579081766966777,0.9546929451771465
33,33,0.9590147247231436,0.9564728229160843
34,34,0.9584134066936941,0.9555062520556548
35,35,0.9584390740448235,0.9557166251414843
36,36,0.9584774653819829,0.9550383871685604
37,37,0.9588572105512557,0.9556726705288467
38,38,0.9584822917215114,0.9554429366690295
39,39,0.9590838291300303,0.9561755983237111
40,40,0.9580558188104389,0.9544397413714248
41,41,0.9583228031379982,0.9551716572154617
42,42,0.9592119465066077,0.9571238188362778
43,43,0.9585198055423928,0.9557314529828403
44,44,0.9581117604731568,0.954841230258354
45,45,0.9562549360290633,0.9538561521450478
46,46,0.9590996244230331,0.9559648590900925
47,47,0.9600905596798821,0.9573961282143529
48,48,0.9581266782498815,0.95650857656394
49,49,0.9578006809526317,0.954998654027235
50,50,0.9578118692851753,0.9540548505927355
