run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,1185922.78125,377303.16875,7279.439351851852,7279.4643518518515,7279.462731481482
1,1,2018,1140193.96875,533898.50625,7299.456944444444,7299.450925925926,7299.45
1,1,2019,1208624.525,465467.55625,7299.44212962963,7299.453472222222,7299.438888888889
1,1,2020,1227018.775,298899.5625,7319.472453703704,7319.49212962963,7319.4430555555555
1,1,2021,1182444.2625,491648.60625,7299.496064814814,7299.4643518518515,7299.482175925926
1,1,2022,1065617.80625,755669.4625,7299.4428240740735,7299.480092592593,7299.454166666666
1,1,2023,750657.18125,923433.80625,7299.461805555556,7299.436111111111,7299.447222222222
1,1,2024,1225443.26875,599623.69375,7319.471527777778,7319.446064814815,7319.433796296296
1,1,2025,1283750.275,390340.625,7299.465972222222,7299.472453703704,7299.459953703704
1,1,2026,1246112.36875,427978.18125,7299.438888888889,7299.441666666667,7299.470601851852
1,1,2027,1374865.1625,299226.875,7299.436805555555,7299.459490740741,7299.450694444445
1,1,2028,1249498.26875,428372.01875,7319.44837962963,7319.457407407407,7319.440509259259
1,1,2029,1291430.675,382662.5,7299.444675925925,7299.447685185185,7299.452314814815
1,1,2030,1153333.125,373368.55625,7299.4643518518515,7299.4949074074075,7299.45
1,1,2031,961361.1375,859926.875,7299.443981481481,7299.4849537037035,7299.452314814815
1,1,2032,1242368.1125,435503.75,7319.454166666666,7319.462037037037,7319.465277777777
1,1,2033,1209332.79375,464759.375,7299.449768518519,7299.465046296296,7299.459953703704
1,1,2034,1212565.74375,461526.95,7299.413194444444,7299.428240740741,7299.466203703703
1,1,2035,1020875.625,505511.7125,7299.4428240740735,7299.468287037037,7299.460648148148
1,1,2036,1529613.15625,1063.125,7319.43912037037,7319.435879629629,7319.474999999999
2,2,2017,1084969.0,0.0,7279.466666666666,7279.425231481481,7279.455555555555
2,2,2018,1298871.675,375220.625,7299.443981481481,7299.461574074074,7299.47337962963
2,2,2019,1379700.0,0.0,7299.452314814815,7299.425925925926,7299.420601851852
2,2,2020,1223314.15625,454557.35625,7319.449537037037,7319.445601851852,7319.465972222222
2,2,2021,1163543.3,510548.08125,7299.462037037037,7299.416898148148,7299.451851851852
2,2,2022,1347776.0375,326316.875,7299.456018518518,7299.477546296296,7299.465509259259
2,2,2023,1285475.625,241420.525,7299.460185185185,7299.433564814814,7299.462268518519
2,2,2024,1064790.1,465885.0,7319.453472222222,7319.458564814815,7319.4625
2,2,2025,1239142.29375,434948.2125,7299.4625,7299.466666666666,7299.47037037037
2,2,2026,1379756.85,294333.875,7299.412731481481,7299.441435185185,7299.461111111111
2,2,2027,1379700.0,0.0,7299.462037037037,7299.441898148148,7299.493287037037
2,2,2028,1295328.31875,382544.375,7319.44212962963,7319.454166666666,7319.437037037037
2,2,2029,1072783.79375,601306.8875,7299.449768518519,7299.462962962963,7299.466666666666
2,2,2030,1359946.45625,314144.79375,7299.472685185185,7299.467361111111,7299.449074074074
2,2,2031,1379354.83125,294738.125,7299.4537037037035,7299.455324074074,7299.500925925926
2,2,2032,1307536.5375,369511.25,7319.450231481482,7319.452083333334,7319.482870370371
2,2,2033,1219534.375,454557.79375,7299.451851851852,7299.417361111111,7299.50462962963
2,2,2034,1419677.85,254413.70625,7299.462962962963,7299.454166666666,7299.448842592593
2,2,2035,1378370.54375,295722.5,7299.428240740741,7299.451157407408,7299.46574074074
2,2,2036,1375180.3375,302691.875,7319.447222222222,7319.446990740741,7319.468981481481
