run,random_seed,time_based_availability,production_based_availability
1,1,0.9602260400941385,0.9096317123918415
2,2,0.9613123157539333,0.9195828804032614
3,3,0.960967824546127,0.917596319365029
4,4,0.9609460055228312,0.9241243754841191
5,5,0.9605719651234758,0.9208698580492717
6,6,0.9607270672090751,0.9152235015120747
7,7,0.9597015731141756,0.9184042266982574
8,8,0.9596507659599298,0.9219058763658781
9,9,0.9608917073248581,0.9188748552213495
10,10,0.9611247968337231,0.9140104058697485
11,11,0.9602833306153065,0.9115753889974619
12,12,0.9606174110319974,0.9151019747870713
13,13,0.9614652359372031,0.9170371768910609
14,14,0.9599242518319252,0.9163567096315999
15,15,0.9607624763668807,0.9116821591051288
16,16,0.9606227722777215,0.9135026058292628
17,17,0.9604635557477292,0.9122439024356364
18,18,0.9606743898528326,0.9208054037440073
19,19,0.9609319790078553,0.916121137323168
20,20,0.9605229034910936,0.9127884709479605
21,21,0.9612885641885742,0.9185743636724389
22,22,0.9608138445817256,0.9134743097864739
23,23,0.9604835669090948,0.918115052548636
24,24,0.9590244976512756,0.9124932842570389
25,25,0.9595705342942681,0.9131797076136448
